post_id,brand,title,content,created_at
12,Inna Organic 童顏有機,(品牌全品項),"Luvenuspan・混合性肌膚・43歲・1,192 篇心得(淺層體驗)《2023-08月中抽中@cosme試用邀請的精華油》自動報名＋平台邀約試用 我已報名了數十種 終於抽中這款＂不太適合＂目前 熱烘烘季節使用的精華＂油＂🤪  既來之則『用』之！😅首先， 外包裝別出心裁👍👍👍 （有智慧又環保！）本體是黑嚕嚕的玻璃瓶！😂產品的主要👇用途： 熟齡肌的我，挺需要的！😆使用前須(看完整內容)",
13,Inna Organic 童顏有機,(品牌全品項),口愛的even・乾性肌膚・47歲・189 篇心得5炎熱的夏季裡，常處於室內的小伊必吹冷氣， 在冷氣的照拂之下，肌膚越發乾燥， 所以臉部的保養除了保濕之外， 更要注重鎖水及油水平衡的效果， 童顏有機「乳香緊致馥活油」可完成此任務。  市售油保養為了做到輕薄質地，會添加矽靈， 但這樣會影響有效成份的吸收； Inna Organic童顏有機 乳香緊致馥活(看完整內容),
14,Inna Organic 童顏有機,(品牌全品項),腦殘病很重・混合性肌膚・38歲・398 篇心得4這次入選收到 Inna Organic 童顏有機「乳香緊致馥活油」，非常感謝~這次收到的是精華油，容量足足有30ml，剛好現在的季節是夏天午後容易有雷陣雨的潮濕型天氣，試用的那星期讓我頗苦手，主因是太油膩了.... 玻璃瓶裝還是很不錯的設計，品質會比較穩定，加上滴管設計可以控制用量，所以一瓶感覺其實可(看完整內容),
15,Inna Organic 童顏有機,(品牌全品項),lovekat777・乾性肌膚・43歲・585 篇心得52021年網友交流會伴手禮之一，是跟上一篇分享的乳香活膚修護乳一起拿到的。 所以二個產品一起使用，希望效果加乘。  乳香緊致馥活油 添加有機乳香複方精油(緊緻撫紋、提升彈性)、輕馥活油(滋養角質、強肌膚屏障)、希臘乳香賦活因子(預防初老細紋、維持肌膚彈潤)我拿到的精華油是5ML，透明輕感油質地，味道不(看完整內容),
16,Inna Organic 童顏有機,(品牌全品項),"siang00384・混合性肌膚・34歲・63 篇心得5🌿【乳香緊緻童顏精華】🌿""童顏有機""這個品牌以前就有聽過了 感覺很適合輕熟女👩使用~ 訴求天然保養，歐盟有機保養品認證！  💧無添加 化學刺激物、酒精 💧無添加 人工香精、色素 💧無添加 Paraben、MI/MCI防腐劑  追求天然 致力降低化學物質毒素的殘留 對於地球友善的保養品牌，應該要支持♡(看完整內容)",
17,Inna Organic 童顏有機,(品牌全品項),lovekat777・乾性肌膚・42歲・585 篇心得6這次收到童顏有機這個品牌的產品共三款，我覺得還不錯。 之前在百大網友伴手禮就有拿過同品牌的其他產品試用品，但還沒有拿出來了用，就抽到這次的試用機會。 使用後對這品牌的印象很不錯，讓我有點期待想再拿出手邊其他試用品來試用看看。  乳香緊緻童顏精華 添加精油，要特別注意孕期小於3個月的準媽媽建議請醫生評估(看完整內容),
18,Inna Organic 童顏有機,(品牌全品項),J-Bo・混合性肌膚・32歲・121 篇心得5嗨~我是混合偏油微敏泛紅肌的J-bo。因為這個童顏霜和童顏精華是一起搭配使用的，就寫在同一邊上。 實測環境：室內21-23度，室外19-25度。日夜溫差。這兩瓶的大小感覺很可愛，雖然童顏霜是適用規格 但童顏霜用量很省！最近也因日夜溫差季節關係 可以單獨作為眼周保養的眼霜非常的剛好哦！ 秋冬肌膚較乾的時(看完整內容),
19,Inna Organic 童顏有機,(品牌全品項),*~*夢之戀*~*・混合性肌膚・31歲・315 篇心得5這次試用的乳香緊致童顏精華 30ml / NT$ 1680 Frankincense Revitalizing Serum  本身對這個牌子印象滿好的 以前當過這間的模特兒 品牌主打以使用香精、矽靈、石化來源界面活性劑很棒! 而且沒有動物實驗 對吃素的我來說非常喜歡~~~這次的 Inna Organi(看完整內容),
20,Inna Organic 童顏有機,(品牌全品項),"天涯夢蝶・混合性肌膚・31歲・671 篇心得4一片NT$190的【精油】面膜。 打開面膜，味道直接噴出來。  今天體驗的是右邊粉紅色的 【薰衣草】、【天竺葵】面膜   成分複製於官網：  全成分：Aqua, Aloe Barbadensis Leaf Juice*, Betula Pendula Sap*, Propanediol, Glycer(看完整內容)",
21,Inna Organic 童顏有機,(品牌全品項),Lin_bobo・敏感性肌膚・27歲・13 篇心得7Hola❤️大家好 I'm BoBo💁🏻‍♀️  非常榮幸能夠分享Inna Organic 童顏有機「有機精油面膜組」體驗活動✍🏻 謝謝@cosme及Inna Organic 童顏有機提供的試用品，試用商品一共3款，每款共2片- 市價 $1180  自己本身工作行業是電商-各大購物平台母嬰用品企劃及業(看完整內容),
22,Inna Organic 童顏有機,(品牌全品項),lovekat777・乾性肌膚・43歲・585 篇心得32021年網友交流會伴手禮。 手上的試用品實在是很多，所以一不小心又放到現在才使用。  其實，剛拿到INNA這個品牌時，真的對它很陌生，沒聽過的品牌，老實說有點不太敢用。 一直到之前抽到同品牌的乳香緊緻童顏精華和乳香逆時童顏霜後，開始對它感興趣。  乳香活顏修護乳 添加有機大馬士革奧圖玫瑰純露(保濕補(看完整內容),
23,Inna Organic 童顏有機,(品牌全品項),姿怡・混合性肌膚・26歲・781 篇心得2這是我去年參加紅唇賞拿到的試用之一 我有使用過同品牌另一款煥白面膜 效果我不是很喜歡 這次是試用舒緩修護款 剛好我最近剛打完染料雷射 需要較密集的修護 便趁著這次是看看 產品主打讓 玫瑰芳香開朗你的心情；讓 薄荷冰鎮舒緩你的肌膚；讓 植萃調理加強你的外在；達到身心完美平衡，迎接下一個挑戰精華跟煥白款一(看完整內容),
24,Inna Organic 童顏有機,(品牌全品項),姿怡・混合性肌膚・26歲・781 篇心得1這是我去年參加@cosme拿到的試用之一 剛好趁著今年夏天 肌膚容易曬紅曬黑 想要用它來預防或降低曬黑程度 這算是我第一次使用他們家的產品 產品主打全膚質適用的亮白面膜，增加肌膚彈性、均勻明亮膚色，溫和呵護肌膚的初生光采。以天然果酸溫和去角質，改善暗沉，只要 10 分鐘，還你自信光采。精華份量蠻多的(看完整內容),
25,Inna Organic 童顏有機,(品牌全品項),siang00384・混合性肌膚・34歲・63 篇心得7🌿【乳香逆時童顏霜】🌿🌟榮獲 2022 Beauty insider  最佳天然/有機臉/眼霜保養推薦🌟  🔸無添加 化學刺激物、酒精。 🔸無添加 人工香精、色素。 🔸無添加 Paraben、MI/MCI防腐劑。  ♡追求天然 致力降低化學物質毒素的殘留 對於地球友善的保養品牌，應該要支持♡  🌿【產(看完整內容),
26,Inna Organic 童顏有機,(品牌全品項),1945・混合性肌膚・41歲・500 篇心得6感謝廠商和URCOSME ，話說童顏有機的瓶身設計很特別，正面背面都在同一面。 童顏有機的創辦人吉米王Jimmy Wang本身是台大化工學士，卡內基美容資訊管理碩士，會創辦這個品牌除了跟自身專業有關，另一個契機就是他的孩子有異位性皮膚炎，所以他開始研究哪些保養品不會引起過敏，進而在2015年創辦有機童(看完整內容),
27,Inna Organic 童顏有機,(品牌全品項),J-Bo・混合性肌膚・32歲・121 篇心得6嗨~我是混合偏油微敏泛紅肌的J-bo。因為這個童顏霜和童顏精華是一起搭配使用的，就寫在同一邊上。 實測環境：室內21-23度，室外19-25度。日夜溫差。這兩瓶的大小感覺很可愛，雖然童顏霜是適用規格 但童顏霜用量很省！最近也因日夜溫差季節關係 可以單獨作為眼周保養的眼霜非常的剛好哦！ 秋冬肌膚較乾的時(看完整內容),
28,Inna Organic 童顏有機,(品牌全品項),"黑衣法・混合性肌膚・40歲・172 篇心得6這次試用了童顏有機的三件組合， 內容包含面膜、精華液及乳霜， 如圖示。  也因UR COSME才知道這品牌-童顏有機， 看官方產品介紹品牌就如名字一樣， 實踐友善與人和平共處環境， 收入1%助兒童教育， 希望讓更多兒童展現微笑， 感覺好有愛的出發點^^。  這次試用了產品之一的""乳香緊致童顏精華"" 這(看完整內容)",
29,Inna Organic 童顏有機,(品牌全品項),emmental・乾性肌膚・37歲・145 篇心得6本篇為體驗心得 本身對於天然保養成分很有好感~ 挑選產品時，採用有機原料的保養品往往也會吸引我多看幾眼。  台灣品牌這幾年在美妝保養的成長和用心，從很多品牌都能看到，像Inna Organic童顏有機，不只是追求更天然，更有效的成分，還要讓妳能更安心的使用，整體包裝精緻度也提升很多喔。在這次體驗童顏有(看完整內容),
30,Inna Organic 童顏有機,(品牌全品項),曾小琴・乾性肌膚・46歲・358 篇心得5感謝@Cosme &童顏有機 讓我有機會試用  #童顏有機乳香活膚修護乳 #童顏有機乳香逆時童顏霜  （👇以下為官網說明👇） 童顏有機致力開發天然，安全，有效的保養品。 是全台灣第一個取得美國EWG，健康及環境友善標準認證的品牌。產品也獲得歐盟COSMOS天然/有機認證。 童顏有機希望以安心，(看完整內容),
31,Inna Organic 童顏有機,(品牌全品項),曾小琴・乾性肌膚・46歲・358 篇心得7以下資料來自@Cosme感謝@Cosme &童顏有機 讓我有機會試用  #童顏有機乳香活膚修護乳 #童顏有機乳香逆時童顏霜  （👇以下為官網說明👇） 童顏有機致力開發天然，安全，有效的保養品。 是全台灣第一個取得美國EWG，健康及環境友善標準認證的品牌。產品也獲得歐盟COSMOS天然/有機認證(看完整內容),
32,Inna Organic 童顏有機,(品牌全品項),"賀小妹・混合性肌膚・45歲・2,019 篇心得4這款是參加2021網友見面會拿到的伴手禮 感謝COSME&童顏有機提供旅行試用組來試用 乳香活膚修護乳 深入肌底潤澤，緊緻撫紋，延緩肌膚衰老，做到輕、薄、透的質地，立即吸收的輕感精華油。 容量：30ml 第一步 在掌心滴入 2-3 滴油 第二步 手掌心相互搓揉、加熱 第三步 輕輕按摩在臉部、頸(看完整內容)",
33,Inna Organic 童顏有機,(品牌全品項),Sevenma・乾性肌膚・38歲・20 篇心得7感謝@cosme跟童顏有機提供的試用機會♥️  之前就有聽過童顏有機這個品牌～ 但一直沒機會嘗試～ 這次居然幸運獲得試用機會真的太開心！  因為乾肌的關係之前也用過油類保養品～ 大牌、開架、日牌都用過～ 但都因為質地厚重或是香味的關係還沒遇到想回購的～ 沒想到這瓶「乳香緊緻賦活油」完全正中我心！ ➽(看完整內容),
34,Inna Organic 童顏有機,(品牌全品項),Bambooju・乾性肌膚・45歲・60 篇心得6生活中一直有在使用精油的我，收到產品前就非常期待這罐： Inna Organic童顏有機 乳香緊致馥活油 乳香自古以來一向是作為抗老保養的珍貴的精油來源，而油保養在這幾年也早已突破舊有油膩不好吸收的印象。 這罐Inna Organic童顏有機 乳香緊致馥活油，以深色玻璃瓶避光維持品質，加上滴管取用容易(看完整內容),
35,Inna Organic 童顏有機,(品牌全品項),Pei66・乾性肌膚・35歲・47 篇心得7這次分享的是  Inna Organic 童顏有機「乳香緊致馥活油」 台灣製造耶 ♥️♥️♥️盒裝屬於簡易環保♻️設計 有國際雙認證COSMOS + EWG😃成分為有機天然植物，也不添加有的沒的 全產品也小動物實驗，感覺就讓人很安心😌  第一次使用乳香系列的保養油 打開就能聞到的淡淡香味～～🌱🌿 質地(看完整內容),
36,Inna Organic 童顏有機,(品牌全品項),fattytan・混合性肌膚・35歲・41 篇心得7非常開心抽到乳香緊致賦馥活油，首先本身是乳香精油的超級愛好者！乳香的好大家必須要知道，他有好多優秀的用途，乳香的保養品少之又少！所以當我抽到童顏有機這次試用的乳香賦活油真的超級開心！ 首先這瓶乳香緊致馥活油是我有過關於油類保養品我最喜歡的一罐！第一是他的油完全不會有油耗味，第二最讓我在意的是用起來非常(看完整內容),
37,Inna Organic 童顏有機,(品牌全品項),"芹媽・混合性肌膚・46歲・31 篇心得7我的膚質是混合兩頰偏乾 顴骨有一些小斑點 膚色偏黃.暗沉  外觀是透明圓罐狀，使用滴管, 可以方便控制使用的量 而且也比較衛生, 內容量 30ml 香味聞起來是很舒服的木質香 超級療愈的香味, 我在使用前會先使用嗅吸放鬆  商品說明: 產品訴求有機, 取得EWG 檢驗認證上 網Google 了一下要取(看完整內容)",
38,Inna Organic 童顏有機,(品牌全品項),lenababe・混合性肌膚・40歲・212 篇心得6第一次試到到INNA ORGANIC童顏有機這個牌子的產品 也是第一次聽到這個品牌名 看了一下簡介，原來是台灣創立的有機品牌 這次拿到的試用產品，名稱叫『乳香緊致馥活油』 想必是訴求抗老緊致吧~~恩~~沒錯，內含的乳香木是很有名的精油之王 傳說埃及艷后就是拿它來抗老保養的  外包裝是草綠黃調的清新風，(看完整內容),
39,Inna Organic 童顏有機,(品牌全品項),朵莉貓・混合性肌膚・45歲・109 篇心得6這回收到的試用為 Inna Organic 童顏有機 乳香緊致馥活油  30ml 瓶身為深色玻璃滴管瓶， 整體瓶子看來質感不錯， 標示字樣是直接印刷於瓶身，品牌強調追求自天然，安全有效的安淨保養， 滴管形式，保養油一般都採取滴管吸取， 是偏透明感的油狀， 質地感覺不厚重，是輕薄的型態質地， 塗抹於臉上(看完整內容),
40,Inna Organic 童顏有機,(品牌全品項),lovekat777・乾性肌膚・42歲・585 篇心得4這次抽中一片童顏有機的橙花面膜來試用，覺得還可以。  橙花光采嫰白面膜 添加有機橙花複方精油、澳洲珍珠萊姆萃取 使用日本獨家冰羽靈隱形面膜布改善暗沉、嫰白肌膚面膜紙是淡黃色，輕薄型的面膜質地，使用白色珍珠膜固定。使用在臉上時，是隱形面膜又服貼。 但鼻翼部分真的太短了，面膜布的剪裁若可以再長一點會更好。(看完整內容),
41,Inna Organic 童顏有機,(品牌全品項),1945・混合性肌膚・41歲・500 篇心得6感謝廠商和URCOSME，希望擦了有乳香味和童顏肌~ 印象中，INNA品牌名稱和包裝設計概念跟一款日本品牌很像，可惜我想了很久都想不起來。  這是我這次收到的三款試用品，我查了有機童顏的官方網站，得知這是一款創立於2015年的台灣有機保養品，強調有機和環保。除了臉部保養品，也有芳療精油和髮類產品，還滿(看完整內容),
42,Inna Organic 童顏有機,(品牌全品項),"Pattyho・混合性肌膚・47歲・67 篇心得6感謝Inna Organic 童顏有機 及@cosme 提供試用機會  為全方位的抗老機制,外在環境的光老化防護、 延緩肌膚老化、淡化細紋,改善肌膚緊實度,環境防護~ 有機夢蝶草、紅花槭樹樹皮萃取、非洲楝樹樹皮萃取, 以義大利頂級有機橄欖油製成的天然橄欖精華蠟取代增稠劑 橄欖精華蠟與我們的皮脂相似,適(看完整內容)",
43,Inna Organic 童顏有機,(品牌全品項),viviw・乾性肌膚・37歲・18 篇心得7童顏有機的產品皆是純素 無動物實驗、無動物成份、無酒精 Vegan和一般素食者均可以安心的使用  身為一位蔬食者 這些理念，已經徹底的收買我的心了 非常謝謝童顏有機 為了動物，也為了環境盡一份心力 也謝謝cosme 讓我可以試用這麼好的產品乳香逆時童顏霜 是一瓶乳霜 + 眼霜，完全可以一霜兩用  一直(看完整內容),
44,Inna Organic 童顏有機,(品牌全品項),小以恩・混合性肌膚・37歲・57 篇心得6這次試用Inna童顏有機--橙花光采嫩白隱形面膜， 我在洗完臉之後，先上化妝水， 打開面膜，它有珍珠膜， 它的面膜材質非常特別， 這款面膜類似布，有點像紙， 是我之前從來沒有嘗試過的裡面有滿滿的精華液， 看面膜袋內層，還有精華液在裡面，敷上去後，非常的服貼，聞到淡淡的草本香味， 感覺非常天然有機， 敷(看完整內容),
45,Inna Organic 童顏有機,(品牌全品項),小以恩・混合性肌膚・37歲・57 篇心得7這一次試用「Inna Organic 童顏有機」乳香緊緻童顏精華， 我是第一次使用這個品牌， 真是一次很棒的體驗感受我在洗完臉後，按壓了一些在手上， 使用前必須要先搖勻， 不然會像我剛開始擠出來只有淡淡的油分， 充分搖勻之後，才發現它是乳狀， 擦上臉後，非常好吸收， 有聞到淡淡草本精油的味道， 完全不(看完整內容),
46,Inna Organic 童顏有機,(品牌全品項),黑衣法・混合性肌膚・40歲・172 篇心得4這次試用童顏有機品牌的橙花光采嫩白面膜， 試用是只有一片， 而這次試用的系列都有標榜有精油成分， 跟我以往用的面膜不太一樣， 我以前沒買過有精油成分的面膜， 所以這次試用還滿期待的， 打開後剛開始覺得以為是有人蔘味道， 但是仔細聞又有點不太像， 可能偏草本的味道吧， 是不至於太香， 面膜取出裡面有附一(看完整內容),
47,Inna Organic 童顏有機,(品牌全品項),迷你型的婷婷・混合性肌膚・39歲・951 篇心得41.商品資訊： ★嚴選獨家輕馥活油、有機堅果油、有機荷荷巴油等，超過10種優質有機植萃以黃金比例調製而成。 ★質地輕薄透，讓肌膚完整吸收珍貴成分。 ★純素可用、無動物實驗。  2.容量：正品30ml/試用品5ml  3.產地：台灣  4.包裝設計：黑色玻璃瓶身+滴管設計。 5.用途：保濕滋潤臉部肌膚。(看完整內容),
48,Inna Organic 童顏有機,(品牌全品項),clio79308・混合性肌膚・32歲・71 篇心得5一直想分享但上班真的太忙了！ 第一次體驗這款MIT面膜「童顏有機-玫瑰天竺葵舒緩修復隱形面膜」包裝蠻歐洲的復古風格，清清淡淡的顏色看了很舒服，拿到是兩種面膜，我先嘗試其中一款，因為主打成份是蠻天然的，包裝也是環保型，一眼就覺得很不錯。 成份都是英文，本人英文沒有說很好，只能大約認知這款面膜是主打舒緩的(看完整內容),
49,Inna Organic 童顏有機,(品牌全品項),"〃目標素顏肌  ,,・混合性肌膚・34歲・401 篇心得6今天外出一天，趕快來片面膜舒緩修護肌膚。 玫瑰天竺葵舒緩修護面膜，一開始很期待是玫瑰味道，但香味依然偏草本精油味道，天竺葵味道比較濃郁。 邊敷臉邊芳療呢！  我還滿喜歡這精油味道的面膜，還有有添加我喜歡的薰衣草味道，化妝水的質地，面膜紙跟醫療用的滅菌棉很像的質感，敷上去很舒服，面膜很薄透，邊邊有點不服(看完整內容)",
50,Inna Organic 童顏有機,(品牌全品項),r13303・乾性肌膚・35歲・146 篇心得6（包裝紙盒）   有機成份，環境友善 對於有些想保養又怕環境過度破壞的人是一個不錯的選擇。   （說明介紹）  （上面的保護蓋我拿開了，按壓壓頭，玻璃瓶身，有一定重量）    它的香味蠻像茶樹的味道，對於一般使用抗老產品的傳統印象非常不一樣，以往使用的抗老產品通常都是花香或較為濃郁的香味，而這款產品是(看完整內容),
51,Inna Organic 童顏有機,(品牌全品項),心戀羽・普通性肌膚・33歲・46 篇心得6☆童顏有機Inna Organic 乳香緊致童顏精華－外包裝照片。    ☆童顏有機Inna Organic 乳香緊致童顏精華－瓶身照片。     ☆質地照片。    ☆均勻塗抹後。   ☆臉部均勻塗抹後，本人照片。             收到了童顏有機Inna Organic 乳香緊致童顏精華，感(看完整內容),
52,Inna Organic 童顏有機,(品牌全品項),Lin_bobo・敏感性肌膚・27歲・13 篇心得5Hola❤️大家好 I'm BoBo💁🏻‍♀️  非常榮幸能夠分享Inna Organic 童顏有機「有機精油面膜組」體驗活動✍🏻 謝謝@cosme及Inna Organic 童顏有機提供的試用品，試用商品一共3款，每款共2片- 市價 $1180 自己本身工作行業是電商-各大購物平台母嬰用品企劃及業務(看完整內容),
53,Inna Organic 童顏有機,(品牌全品項),emmental・乾性肌膚・37歲・145 篇心得6本篇為體驗心得 本身對於天然保養成分很有好感~ 挑選產品時，採用有機原料的保養品往往也會吸引我多看幾眼。  台灣品牌這幾年在美妝保養的成長和用心，從很多品牌都能看到，像Inna Organic童顏有機，不只是追求更天然，更有效的成分，還要讓妳能更安心的使用，像這次體驗的「乳香逆時童顏霜」成分就有99.(看完整內容),
54,Inna Organic 童顏有機,(品牌全品項),little2・混合性肌膚・37歲・45 篇心得4首先非常感謝童顏有機 Inna Organic與@Cosme提供試用商品的機會童顏有機 Inna Organic是我以前就有買過的牌子 喜歡他們家的產品都是天然植物萃取  感覺對肌膚比較沒有負擔 包裝上也很貼心 好開不傷指甲  尤其是有做水晶指甲的人更覺得窩心了 先說說我喜歡這款精華的優點 這款乳香緊(看完整內容),
55,Inna Organic 童顏有機,(品牌全品項),"跑道名模・混合性肌膚・35歲・15 篇心得7Inna 童顏有機面膜 大感謝在這個乾到不行的吃a酸時期 讓我遇到這個很讚的面膜，我目前甚麼都不敢擦 因為皮膚大乾燥 非常的困擾的過渡期 這一片是""沒藥水潤淨化隱形面膜"" 藍色的包裝 敷上去大概15分鐘左右拿下來 覺得皮膚終於好好喝水了>_< 平常有夠乾燥!!!  我看到這段話真是心有戚戚(看完整內容)",
56,Inna Organic 童顏有機,(品牌全品項),Fariah・混合性肌膚・35歲・224 篇心得6謝謝@cosme X 童顏有機Inna Organic 提供的試用品♥️霧面質感包裝觸感摸起來很是厚實溫潤 雖然是軟管式的護唇產品，弧形的外型方便使用不髒手（仔細看了文宣發現居然是眼周保養等級的陶瓷頭！）實際擦起來有略微沙沙的感覺，唇膏觸及體溫即融化無感；無添加香氛但有天然植物油的味道，若您本身接觸過(看完整內容),
57,Inna Organic 童顏有機,(品牌全品項),蘿拉女孩・乾性肌膚・36歲・138 篇心得6對於油類保養，相信應該有很多人跟我一樣有點害怕， 特別是在像現在天氣比較炎熱的季節，怕油膩、厚重、不好吸收， 而 #童顏有機 #乳香緊致馥活油，是專門為亞洲潮濕氣候研發出輕、薄、透的質地， 嚴選獨家輕馥活油、有機堅果油、有機荷荷巴油等，超過10種優質有機植萃以黃金比例調製而成， 且純素(vegan)可(看完整內容),
58,Inna Organic 童顏有機,(品牌全品項),j'adore・乾性肌膚・49歲・436 篇心得4謝謝童顏有機 x @cosme提供正品試用 最近太忙了 有點遲到交心得 不知是否會被列入黑名單 😭  童顏有機這品牌其實有聽過 他是台灣的品牌 看起來產品的包裝還蠻文青的 對他也很好奇 因為他們的保養品好像都是含有精油 正品的容量有30ml 是用滴管取出 使用的方法很簡單 早晚2次 我會在化妝水後使用(看完整內容),
59,Inna Organic 童顏有機,(品牌全品項),Katyfan・乾性肌膚・40歲・70 篇心得5這次收到-乳香緊緻馥活油-的試用真的還挺開心的，我現在真的是只對我有興趣的產品才會送出試用申請，平時對有機植萃的保養品就有好感，Inna Organic童顏有機又是本土的品牌，自然感覺又更親切。  乾肌的我在30歲過後就有使用精華油加強保養的習慣，夏天因為台灣的天氣濕悶較不會使用，但是這款我在夏天用起(看完整內容),
60,Inna Organic 童顏有機,(品牌全品項),chuseer・混合性肌膚・43歲・159 篇心得6這次試用的是 Inna Organic 童顏有機「乳香緊致馥活油」 外盒是這樣打開外盒  拿出來是深色瓶裝 滴管的方式   非常方便 而且乾淨衛生 滴出來的是透明油狀 雖是油狀 但感覺起來不會過於油膩  我覺得還滿舒爽的 感覺質地很精純 油油亮亮的 感覺很滋潤  雖然它的品名是「乳香」 但是我聞不出有(看完整內容),
61,Inna Organic 童顏有機,(品牌全品項),琦琦~~・混合性肌膚・35歲・38 篇心得6這次試用的產品是Inna Organic 童顏有機「乳香緊致馥活油」主打有機乳香精油，雖是精華油，但質地非常水潤流動性很好，單擦也很快就能吸收，且乳香精油的味道十分紓壓。使用感受很好! 效果主打緊致、鎖水，延緩肌膚衰老。抗衰好和緊緻的功效使用兩周下來還沒有很明顯感受，但鎖水方面感受佳，按照官網建議可混(看完整內容),
