post_id,brand,title,content,created_at
11,menomeno,(品牌全品項),Chingn・混合性肌膚・34歲・997 篇心得6m̄enom̄eno Fc溫和潔面露 正貨容量：160ml  定價：NT$ 540這品牌一系列是在今年@cosme 春夏網友交流活動收到的試用品  我完全沒看過的品牌  google 才知道是藝人張景嵐創立的品牌 並且跟保養品化學博士一起試測研發的產品。  品牌介紹（內容取至品牌官網）👇🏻 meno(看完整內容),
12,menomeno,(品牌全品項),"Lilinpolly・混合性肌膚・37歲・1,243 篇心得4之前有分享過m̄enom̄eno這個品牌的面膜，  走文青路線，沒有添加多餘不必要的物質在保養品，  我覺得這樣的概念真的不錯，有興趣可以去看我這篇 m̄enom̄eno Fm全能修護面膜  而手邊還有這個品牌的另一個品項「Fc溫和潔面露」Fc (Face cleanser) 純白包裝，英文標記也好認(看完整內容)",
13,menomeno,(品牌全品項),"Lilinpolly・混合性肌膚・37歲・1,243 篇心得5又來分享m̄enom̄eno的產品了，  之前有說到品牌的面膜，最愛的還是它的包裝設計，  產品包裝老實說顏值真的好重要，  但我真的必須撇除自己外貌協會的想法，  不然容易被騙😂😂😂  回來說一下今天要分享的產品，一樣是活動拿到的  「m̄enom̄eno -Al 3in1 省時精萃」又是一個簡約明(看完整內容)",
14,menomeno,(品牌全品項),Rere_・混合性肌膚・31歲・204 篇心得4購入品這瓶號稱是All in one 可以在化妝水後直接用 就不用再上乳液 乳霜 但實際上我並沒有這麼使用 因為它的滋潤度對我來說 不太夠 上述的用法 應該比較適合不想要瓶瓶罐罐、 男生 跟 油肌吧～？ 實際上我已經用了2-3罐了 我都是跟他們品牌的Sr精華液一起用 可以降低Sr的黏膩感 但後來覺得 只是要(看完整內容),
15,menomeno,(品牌全品項),Rere_・混合性肌膚・31歲・204 篇心得6購入品Menomeno的潔面露應該是他們家好評最高的產品 我已經用到第三還是第四瓶了   中間包裝的瓶蓋曾經改版過一次 我這瓶就是新的版本（用倒的） 不像之前有一個按鈕可以按 倒出來的量也比較好控制 我個人是比較不喜歡改版後的包裝  另一個是我不確定是什麼原因 我覺得之前買的Fc比較容易起泡 這一罐特別的水(看完整內容),
16,menomeno,(品牌全品項),"伏洛拉・混合性肌膚・34歲・1,395 篇心得4感謝@cosme 2023網友交流會 這是其中一份贈禮裡面包含3種產品試用包，洗面X5，省時精萃X5，面膜X3省時精粹名字取得很好懂 顧名思義就是懶人專用，擦完就可以休息了 (產品宣稱是化妝水+精華液+鎖水成分) 但有趣的是，他又不是想像中那種很滋潤很保濕的類型控油的指數最高，加上抗痘等等，所以他定位(看完整內容)",
17,menomeno,(品牌全品項),"伏洛拉・混合性肌膚・34歲・1,395 篇心得5這是參加@cosme 舉辦的2023網友交流會得到的贈禮之一第一次參加實體線下聚會，離開時看到兩大袋超級震驚 真的太慷慨了吧！ 聚會本身也很棒，本來有點緊張，但大家都很友善，我全程因為氣管過敏一直咳嗽也沒被白眼> < 回到這個品牌m̄enom̄eno 對我來說是很陌生的牌子 也因次有去官網(看完整內容)",
18,menomeno,(品牌全品項),青蛙愛呱呱・混合性肌膚・29歲・494 篇心得5感謝 winnieyen 的愛～🥰💝讓我有機會體驗到m̄enom̄eno的「Fc溫和潔面露」💓謝謝維尼尼尼尼尼～😚😚😚他的流動性高 帶有成分味  好起泡 泡沫綿密豐富 洗起來滑順 好推勻，好延展 相當的古溜 好沖乾淨 沖完之後感覺很乾淨，很不錯！ 且不會乾燥，緊繃 我還滿喜歡的～🥰  感謝Winnie(看完整內容),
19,menomeno,(品牌全品項),"何妮妮・混合性肌膚・38歲・1,037 篇心得5這款Fc溫和潔面露，當初是在網上申請拿到 的小樣！ 官網說明： 添加精挑細選的高濃度氨基酸洗顏成份，溫和 又具有深層清潔效果，皮膚該有的水分不會因 為洗臉而減少，凝露狀適合大多數人肌膚，洗 完不緊繃、不乾澀。使用保健品萃取方式－超 臨界烏龍茶萃取液，盡可能保留完整植萃養分 ，烏龍茶是半發酵茶，在皮膚的(看完整內容)",
20,menomeno,(品牌全品項),王兔兔・混合性肌膚・39歲・312 篇心得4雖然我不是敏感性肌膚，但我幾乎沒有在用A醇、酸類的商品，因為我害怕造成肌膚的不適😂😂😂 這次申請了menomeno的試用，寄來了Lt極致A醇乳液。猶豫了一下決定不試白不試。白色乳狀質地，無香味，好推勻、不粘膩。不過我覺得有點油，但是不會有厚重悶熱的感覺，吸收的速度沒有很快，不過我覺得還是滿滿意的。這樣(看完整內容),
21,menomeno,(品牌全品項),Rere_・混合性肌膚・31歲・204 篇心得6購入品當初會認識這個品牌是跟著陳艾琳的團購 那時候才知道是藝人張景嵐創立的品牌  (來源：menomeno官網） 那時候看到這些描述 加上成分裡面有添加了B3 我就決定買來試試看 它的質地是透明的 流動性非常高 用起來的潤度剛剛好 但唯一缺點就是臉上會黏黏不餓 我通常會混別的精華在裡面 或者後續上比較清爽的(看完整內容),
22,menomeno,(品牌全品項),"賀小妹・混合性肌膚・44歲・2,019 篇心得3這款是參加今年2023網友見面會所拿到的伴手禮之一感謝COSME及menomeno提供試用組來使用最近才去玩個水就曬得全身黑嚕嚕就來試試 長方形半霧透明塑膠單片包裝共3片 包裝上白色字體很小產品說明也看不清楚 對老人家老花眼看說明實在有點吃力撕開為很薄透的不織布單層 帶有很奇怪的氣味個人不愛 個人混合(看完整內容)",
23,menomeno,(品牌全品項),眼皮小姐・混合性肌膚・37歲・124 篇心得7這個面膜是網友交流活動時，@cosme準備給大家的贈品  主打保濕、修護 很喜歡他的外包裝，帶著清透感裡面的成分是保濕多醇、神經醯胺、波尿酸及尿囊素 都是保濕修護屆很棒的成分 面膜內含27ml精華液 質地偏濃稠，因此拆封時面膜拿出來幾乎不會滴的亂七八糟 可以從容不迫的拆開敷上  我的膚質是混合肌 但剛(看完整內容),
24,menomeno,(品牌全品項),"賀小妹・混合性肌膚・44歲・2,019 篇心得5這款是參加今年2023網友見面會拿到的伴手禮之一 感謝COSME&menomeno提供試用組來使用 看到洗卸合一就決定來開箱了 也是第一次接觸這品牌長方形白色塑膠小容量試用包裝共5包擠出內容為透明水液狀凝露狀質地 無香味個人習慣淡妝不過今天的底妝不太持妝也脫妝變素顏了倒於掌心質地很水很好起泡(看完整內容)",
25,menomeno,(品牌全品項),Sabrina芸・乾性肌膚・37歲・718 篇心得7參加@cosme2023網友交流大會的伴手禮🎉🎉🎉感謝@cosme的用心舉辦活動，也感謝m̄enom̄eno，我才有機會體驗Fc溫和潔面露🤗裡面還附了一張產品相關資訊透明流動性非常高的潔面露，還在拍照就往手腕流去了😅這是沒香味的唷！真的是設計給敏感肌的人🥰用量省，照片是1次1包的量，但其實一次只要半包(看完整內容),
26,menomeno,(品牌全品項),"伏洛拉・混合性肌膚・34歲・1,395 篇心得4感謝@cosme的2023網友交流會 這是其中一份贈禮裡面有他們家的3種產品試用包 其中面膜有3片m̄enom̄eno家的包裝偏簡約，透明的包裝可以直接看到面膜本身 上面有產品名稱的英文縮寫，很有特色 據說布膜有拿去做EO滅菌後再進填充，包裝透明的設計也方便工廠跟使用者檢視有沒有髒污。全產品都走沒有多(看完整內容)",
27,menomeno,(品牌全品項),"Aomori・油性肌膚・30歲・2,356 篇心得52023 網友交流會 的禮物之一，  這是張景嵐的自創保養品牌，  也就是 MIT，  最近疫情期間有越來越多的台灣品牌出來，  只要包裝走文青類型的，  面膜好像都很喜歡用成可透視的包裝，   27ml的 精華液，其實給得非常多，  香味上不是很好聞，  面膜紙的五官，在下半臉有點對不準， 看我眼下(看完整內容)",
28,menomeno,(品牌全品項),Viane・混合性肌膚・35歲・691 篇心得(淺層體驗)1.5ml試用包，透明膠狀，易起泡好沖洗，無香味。這款泡泡細緻綿密偏奶泡型，上臉洗感蠻特別的，很像是洗臉皂那種澀澀的泡沫感，因為洗面乳露幾乎沒有這種感覺，也不會滑滑或是粉粉的。 我是混油肌，眼下極乾：這款洗後眼下鼻翼嘴角等部位都不會拔乾，整體就是洗得乾淨溫和～ 因為只有一包不知道連續洗會不會乾，就第一(看完整內容),
29,menomeno,(品牌全品項),"Yuru Huang・混合性肌膚・34歲・1,072 篇心得6感謝 @cosme X m̄enom̄eno 提供試用機會。 這是2023年網友見面會的伴手禮之一。m̄enom̄eno霸氣提供試用套組，附贈收納包，質感非常好。其中包含「Fc溫和潔面露」X5，每包容量1.5ml。 包裝風格以白色為主，無過多的裝飾，風格極簡。潔面露為透明，流動性佳，無特殊香味。 加水(看完整內容)",
30,menomeno,(品牌全品項),"winnieyen・敏感性肌膚・37歲・1,215 篇心得5非常感謝之前能夠參加交流會， 拿到的這組試用包， 在包裝設計好好用心， 讓人体驗完還可以把袋袋當資料夾使用， 實在很棒棒！！ 這款也是一包就是我一次的用量， 泡量也很足夠很舒服， 洗完不會太乾又好沖洗， 使用感受很不錯唷~(看完整內容)",
31,menomeno,(品牌全品項),"賀小妹・混合性肌膚・44歲・2,019 篇心得4這款是參加今年2023網友見面會的伴手禮之一之前已用過溫和潔面露*5試用包  Fc溫和潔面露 感謝COSME&menomeno提供試用組來使用白色長方形塑膠小容量1.5ml試用包裝 擠出內容為透明凝膠狀不流動質地 無香味個人混合偏乾在28度的夏天使用 很好推勻但吸收較慢 會稍微有點黏膩及灼熱感(看完整內容)",
32,menomeno,(品牌全品項),"活力珊瑚・混合性肌膚・40歲・2,294 篇心得5這個是今天參加Cosme實體活動￼後 ￼Cosme和廠商贈予的試用，感謝🙏產品名稱是All in one省時精萃 正貨容量30ml，售價990 （我拿到的是5包小包的試用） 名稱叫做省時精粹 顧名思義就是它集結化妝水、精華液以及鎖水成份 能夠幫助肌膚保濕，並軟化角質 主打一瓶抵多瓶（懶人保養的意思😅）(看完整內容)",
33,menomeno,(品牌全品項),"Aomori・油性肌膚・32歲・2,356 篇心得42023 網友交流會 的禮物之一，  這是張景嵐的自創保養品牌，  也就是 MIT，  最近疫情期間有越來越多的台灣品牌出來，   真的是露狀的洗臉產品，  好起泡，泡泡不多，但足夠使用，  也很好沖洗乾淨，  沖洗完微微滑，  對油肌的我來說，洗淨力偏弱、去油力也弱，  整體來說比較像 洗個寂寞，(看完整內容)",
34,menomeno,(品牌全品項),"活力珊瑚・混合性肌膚・40歲・2,294 篇心得4之前參加Cosme實體活動後 在會後大禮包內得到的試用 謝謝廠商和cosme的大方❤️透明凝露狀，淡淡清香 起泡力普通正常，泡泡沒有很厚實 洗淨力OK~ 但我偏愛泡泡濃郁的 所以這些試用我就體驗看看而已 之後沒有想要購買正貨容量繼續使用❤️(看完整內容)",
35,menomeno,(品牌全品項),"活力珊瑚・混合性肌膚・40歲・2,294 篇心得4之前參加Cosme實體活動後 會後大禮包內贈送的試用 謝謝cosme和廠商的大方❤️  這款面膜使用日本大廠棉籽絨纖維面膜布 能夠鎖住精華液成份，以達到長效保濕 使用後肌膚嫩嫩的，很是舒服  這款就是保濕型面膜 一般日常保養都能使用 無功無過，就是面膜～☺️(看完整內容)",
36,menomeno,(品牌全品項),仙女喵・混合性肌膚・22歲・22 篇心得5面膜：對於急救保濕蠻有效果，面膜偏薄，很快就會乾掉的感覺，敷完後皮有變得透亮，唯一的缺點就是我不喜歡他的味道 推薦指數：⭐⭐ 洗卸清潔力：⭐⭐⭐ 保濕度：⭐⭐⭐⭐ 面膜吸收度：⭐⭐⭐⭐ 會購買指數：⭐⭐(看完整內容),
37,menomeno,(品牌全品項),"*小穎*・乾性肌膚・33歲・1,874 篇心得4m̄enom̄eno Fm全能修護面膜 包裝和成分都是簡單純淨的風格，採用日本布膜纖維面膜，沒有任何襯紙輔助拿取，布膜的質地沒有到很細緻，有些地方沒有辦法很服貼，但至少有吸附滿滿精華也不易從臉上滑落 精華液的味道是無添加香精的原料味，成分也都是保濕成分為主，敷完除了保濕感不會悶黏之外其他就沒有太大的(看完整內容)",
38,menomeno,(品牌全品項),"*小穎*・乾性肌膚・33歲・1,874 篇心得4省時精萃 包裝設計簡約，上面寫著產品名的縮寫，很像元素符號的樣子，但在對產品不夠熟悉的情況下還是不夠直觀，要拿起來仔細看是什麼產品 省時精萃強調的是all in one的保養品，透明的凝膠狀質地沒有特殊香味，延展性蠻好的用量很省，一包1.5ml可以分兩次使用，吸收偏慢，但是蠻清爽保濕的選擇(看完整內容)",
39,menomeno,(品牌全品項),"*小穎*・乾性肌膚・33歲・1,874 篇心得4溫和潔面露  包裝設計簡約，上面寫著產品名的縮寫，很像元素符號的樣子，但在對產品不夠熟悉的情況下還是不夠直觀，要拿起來仔細看是什麼產品 凝露狀透明質地沒有特殊香味，加水之後可以搓出蠻細緻但不多的泡泡，清潔感很溫和，洗完不會乾澀，整體表現中規中矩(看完整內容)",
40,menomeno,(品牌全品項),仙女喵・混合性肌膚・22歲・22 篇心得3潔面露：比較適合早上沒有帶妝洗臉，因為相對來說比較溫和，清潔力會比較差一點點 推薦指數：⭐⭐ 洗卸清潔力：⭐⭐⭐ 保濕度：⭐⭐⭐⭐ 面膜吸收度：⭐⭐⭐⭐ 會購買指數：⭐⭐(看完整內容),
